class.name.phs,ibase,idss,idiff
LINE.OL645-646.2,0.000,0.000,0.000
LINE.OL645-646.3,0.000,0.000,0.000
TRANSFORMER.T633-634.2,0.000,0.000,0.000
TRANSFORMER.T633-634.1,0.000,0.000,0.000
TRANSFORMER.T633-634.3,0.000,0.000,0.000
CAPACITOR.CAP2.2,242.172,240.559,1.613
LINE.S671-692.2,533.088,531.444,1.644
CAPACITOR.CAP1.2,290.607,288.671,1.936
CAPACITOR.CAP2.1,242.397,239.549,2.848
TRANSFORMER.XFMR_633_C_1.3,1.899,4.749,2.850
TRANSFORMER.XFMR_633_C_2.3,1.899,4.749,2.850
TRANSFORMER.XFMR_633_C_3.3,1.899,4.749,2.850
TRANSFORMER.XFMR_633_C_4.3,1.899,4.749,2.850
TRANSFORMER.XFMR_633_C_5.3,1.899,4.749,2.850
LINE.OL_633_C_XFMR_633_C_1.3,1.899,4.749,2.850
LINE.OL_633_C_XFMR_633_C_2.3,1.899,4.749,2.850
LINE.OL_633_C_XFMR_633_C_3.3,1.899,4.749,2.850
LINE.OL_633_C_XFMR_633_C_4.3,1.899,4.749,2.850
LINE.OL_633_C_XFMR_633_C_5.3,1.899,4.749,2.850
TRANSFORMER.XFMR_645_C_1.3,1.899,4.749,2.850
TRANSFORMER.XFMR_645_C_2.3,1.899,4.749,2.850
TRANSFORMER.XFMR_645_C_3.3,1.899,4.749,2.850
TRANSFORMER.XFMR_645_C_4.3,1.899,4.749,2.850
TRANSFORMER.XFMR_645_C_5.3,1.899,4.749,2.850
LINE.OL_645_C_XFMR_645_C_1.3,1.899,4.749,2.850
LINE.OL_645_C_XFMR_645_C_2.3,1.899,4.749,2.850
LINE.OL_645_C_XFMR_645_C_3.3,1.899,4.749,2.850
LINE.OL_645_C_XFMR_645_C_4.3,1.899,4.749,2.850
LINE.OL_645_C_XFMR_645_C_5.3,1.899,4.749,2.850
TRANSFORMER.XFMR_632_C_1.3,1.899,4.749,2.850
TRANSFORMER.XFMR_632_C_2.3,1.899,4.749,2.850
TRANSFORMER.XFMR_632_C_3.3,1.899,4.749,2.850
TRANSFORMER.XFMR_632_C_4.3,1.899,4.749,2.850
TRANSFORMER.XFMR_632_C_5.3,1.899,4.749,2.850
LINE.OL_632_C_XFMR_632_C_1.3,1.899,4.749,2.850
LINE.OL_632_C_XFMR_632_C_2.3,1.899,4.749,2.850
LINE.OL_632_C_XFMR_632_C_3.3,1.899,4.749,2.850
LINE.OL_632_C_XFMR_632_C_4.3,1.899,4.749,2.850
LINE.OL_632_C_XFMR_632_C_5.3,1.899,4.749,2.850
TRANSFORMER.XFMR_633_A_1.1,1.897,4.752,2.855
TRANSFORMER.XFMR_633_A_2.1,1.897,4.752,2.855
TRANSFORMER.XFMR_633_A_3.1,1.897,4.752,2.855
TRANSFORMER.XFMR_633_A_4.1,1.897,4.752,2.855
TRANSFORMER.XFMR_633_A_5.1,1.897,4.752,2.855
LINE.OL_633_A_XFMR_633_A_1.1,1.897,4.752,2.855
LINE.OL_633_A_XFMR_633_A_2.1,1.897,4.752,2.855
LINE.OL_633_A_XFMR_633_A_3.1,1.897,4.752,2.855
LINE.OL_633_A_XFMR_633_A_4.1,1.897,4.752,2.855
