bus_phs,vbase,vglm,vdiff
N630_C,1.13830,1.13788,0.00042
N650_A,1.00010,0.99926,0.00084
N650_B,1.00010,0.99926,0.00084
N650_C,1.00010,0.99926,0.00084
N630_B,1.13540,1.13215,0.00325
N630_A,1.13360,1.12769,0.00591
N632_A,1.15270,1.14079,0.01191
METER_632_A_A,1.15270,1.14074,0.01196
XFMR_METER_632_A_1_A,1.15270,1.14073,0.01197
XFMR_METER_632_A_2_A,1.15270,1.14073,0.01197
XFMR_METER_632_A_3_A,1.15270,1.14073,0.01197
XFMR_METER_632_A_4_A,1.15270,1.14073,0.01197
XFMR_METER_632_A_5_A,1.15270,1.14073,0.01197
N633_A,1.15260,1.14049,0.01211
N634_A,1.15260,1.14049,0.01211
METER_633_A_A,1.15260,1.14044,0.01216
XFMR_METER_633_A_1_A,1.15260,1.14043,0.01217
XFMR_METER_633_A_2_A,1.15260,1.14043,0.01217
XFMR_METER_633_A_3_A,1.15260,1.14043,0.01217
XFMR_METER_633_A_4_A,1.15260,1.14043,0.01217
XFMR_METER_633_A_5_A,1.15260,1.14043,0.01217
N6321_A,1.15790,1.14488,0.01302
TRIP_LOAD_633_B_H_1_B,1.15920,0.66808,0.49112
TRIP_LOAD_633_B_H_2_B,1.15920,0.66808,0.49112
TRIP_LOAD_633_B_H_3_B,1.15920,0.66808,0.49112
TRIP_LOAD_633_B_H_4_B,1.15920,0.66808,0.49112
TRIP_LOAD_633_B_H_5_B,1.15920,0.66808,0.49112
TRIP_LOAD_633_B_H_6_B,1.15920,0.66808,0.49112
TRIP_LOAD_633_B_H_7_B,1.15920,0.66808,0.49112
TRIP_LOAD_633_B_H_8_B,1.15920,0.66808,0.49112
TRIP_LOAD_633_B_H_9_B,1.15920,0.66808,0.49112
TRIP_LOAD_633_B_H_10_B,1.15920,0.66808,0.49112
TRIP_LOAD_633_B_H_11_B,1.15920,0.66808,0.49112
TRIP_LOAD_633_B_H_12_B,1.15920,0.66808,0.49112
TRIP_LOAD_633_B_H_13_B,1.15920,0.66808,0.49112
TRIP_LOAD_633_B_H_14_B,1.15920,0.66808,0.49112
TRIP_LOAD_633_B_H_15_B,1.15920,0.66808,0.49112
TRIP_LOAD_633_B_H_16_B,1.15920,0.66808,0.49112
TRIP_LOAD_633_B_H_17_B,1.15920,0.66808,0.49112
TRIP_LOAD_633_B_H_18_B,1.15920,0.66808,0.49112
TRIP_LOAD_633_B_H_19_B,1.15920,0.66808,0.49112
TRIP_LOAD_633_B_H_20_B,1.15920,0.66808,0.49112
TRIP_LOAD_633_B_H_21_B,1.15920,0.66808,0.49112
TRIP_LOAD_633_B_H_22_B,1.15920,0.66808,0.49112
TRIP_LOAD_633_B_H_23_B,1.15920,0.66808,0.49112
TRIP_LOAD_633_B_H_24_B,1.15920,0.66808,0.49112
TRIP_LOAD_633_B_H_25_B,1.15920,0.66808,0.49112
TRIP_LOAD_633_B_H_26_B,1.15920,0.66808,0.49112
TRIP_LOAD_633_B_H_27_B,1.15920,0.66808,0.49112
TRIP_LOAD_633_B_H_28_B,1.15920,0.66808,0.49112
TRIP_LOAD_633_B_H_29_B,1.15920,0.66808,0.49112
