Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2, I3_1, Ang3_1, I3_2, Ang3_2, I3_3, Ang3_3, I3_4, Ang3_4, Iresid3, AngResid3
Vsource.SOURCE,    273.211,   -67.27,    272.365,   174.29,    273.949,    52.87,          0,     0.00,    6.50473,   -90.66,    273.211,   112.73,    272.365,    -5.71,    273.949,  -127.13,          0,     0.00,    6.50473,    89.34,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL_632_B_XFMR_632_B_2,    0.80898,   -92.02,          0,     0.00,          0,     0.00,          0,     0.00,    0.80898,   -92.02,    0.80898,    87.98,          0,     0.00,          0,     0.00,          0,     0.00,    0.80898,    87.98,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL_632_B_XFMR_632_B_3,    0.80898,   -92.02,          0,     0.00,          0,     0.00,          0,     0.00,    0.80898,   -92.02,    0.80898,    87.98,          0,     0.00,          0,     0.00,          0,     0.00,    0.80898,    87.98,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL_632_B_XFMR_632_B_4,    0.80898,   -92.02,          0,     0.00,          0,     0.00,          0,     0.00,    0.80898,   -92.02,    0.80898,    87.98,          0,     0.00,          0,     0.00,          0,     0.00,    0.80898,    87.98,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL_632_B_XFMR_632_B_5,    0.80898,   -92.02,          0,     0.00,          0,     0.00,          0,     0.00,    0.80898,   -92.02,    0.80898,    87.98,          0,     0.00,          0,     0.00,          0,     0.00,    0.80898,    87.98,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL_632_B_XFMR_632_B_1,    0.80898,   -92.02,          0,     0.00,          0,     0.00,          0,     0.00,    0.80898,   -92.02,    0.80898,    87.98,          0,     0.00,          0,     0.00,          0,     0.00,    0.80898,    87.98,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_645_B_H_5,    1.01115,   -91.63,    1.01115,    88.37,          0,     0.00,          0,     0.00, 1.27599E-8,   178.37,    1.01115,    88.37,    1.01115,   -91.63,          0,     0.00,          0,     0.00, 9.10631E-12,    -2.86,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_645_B_H_6,    1.01115,   -91.63,    1.01115,    88.37,          0,     0.00,          0,     0.00, 1.27599E-8,   178.37,    1.01115,    88.37,    1.01115,   -91.63,          0,     0.00,          0,     0.00, 9.10631E-12,    -2.86,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_645_B_H_7,    1.01115,   -91.63,    1.01115,    88.37,          0,     0.00,          0,     0.00, 1.27599E-8,   178.37,    1.01115,    88.37,    1.01115,   -91.63,          0,     0.00,          0,     0.00, 9.10631E-12,    -2.86,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_645_B_H_8,    1.01115,   -91.63,    1.01115,    88.37,          0,     0.00,          0,     0.00, 1.27599E-8,   178.37,    1.01115,    88.37,    1.01115,   -91.63,          0,     0.00,          0,     0.00, 9.10631E-12,    -2.86,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_645_B_H_9,    1.01115,   -91.63,    1.01115,    88.37,          0,     0.00,          0,     0.00, 1.27599E-8,   178.38,    1.01115,    88.37,    1.01115,   -91.63,          0,     0.00,          0,     0.00, 9.09495E-12,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_645_B_H_1,    1.01115,   -91.63,    1.01115,    88.37,          0,     0.00,          0,     0.00, 1.27599E-8,   178.37,    1.01115,    88.37,    1.01115,   -91.63,          0,     0.00,          0,     0.00, 9.10631E-12,    -2.86,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_645_B_H_2,    1.01115,   -91.63,    1.01115,    88.37,          0,     0.00,          0,     0.00, 1.27599E-8,   178.37,    1.01115,    88.37,    1.01115,   -91.63,          0,     0.00,          0,     0.00, 9.10631E-12,    -2.86,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_645_B_H_3,    1.01115,   -91.63,    1.01115,    88.37,          0,     0.00,          0,     0.00, 1.27599E-8,   178.37,    1.01115,    88.37,    1.01115,   -91.63,          0,     0.00,          0,     0.00, 9.10631E-12,    -2.86,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_645_B_H_4,    1.01115,   -91.63,    1.01115,    88.37,          0,     0.00,          0,     0.00, 1.27599E-8,   178.37,    1.01115,    88.37,    1.01115,   -91.63,          0,     0.00,          0,     0.00, 9.10631E-12,    -2.86,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL_684_C_XFMR_684_C_5,   0.828242,   147.07,          0,     0.00,          0,     0.00,          0,     0.00,   0.828242,   147.07,   0.828242,   -32.93,          0,     0.00,          0,     0.00,          0,     0.00,   0.828242,   -32.93,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL_684_C_XFMR_684_C_4,   0.828242,   147.07,          0,     0.00,          0,     0.00,          0,     0.00,   0.828242,   147.07,   0.828242,   -32.93,          0,     0.00,          0,     0.00,          0,     0.00,   0.828242,   -32.93,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL_684_C_XFMR_684_C_3,   0.828242,   147.07,          0,     0.00,          0,     0.00,          0,     0.00,   0.828242,   147.07,   0.828242,   -32.93,          0,     0.00,          0,     0.00,          0,     0.00,   0.828242,   -32.93,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL_684_C_XFMR_684_C_2,   0.828242,   147.07,          0,     0.00,          0,     0.00,          0,     0.00,   0.828242,   147.07,   0.828242,   -32.93,          0,     0.00,          0,     0.00,          0,     0.00,   0.828242,   -32.93,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
