# Master_curr.csv run at 2000-01-01 00:00:00 EST on 3573 links
link_name,currA_mag,currA_angle,currB_mag,currB_angle,currC_mag,currC_angle
reg_trans_n650-n630,893.711239,1.433540,890.509700,-0.633394,896.476874,3.526066
line_ol_632_b_xfmr_632_b_2,0.000000,0.000000,2.060071,4.178825,0.000000,0.000000
line_ol_632_b_xfmr_632_b_3,0.000000,0.000000,2.060071,4.178825,0.000000,0.000000
line_ol_632_b_xfmr_632_b_4,0.000000,0.000000,2.060071,4.178825,0.000000,0.000000
line_ol_632_b_xfmr_632_b_5,0.000000,0.000000,2.060071,4.178825,0.000000,0.000000
line_ol_632_b_xfmr_632_b_1,0.000000,0.000000,2.060071,4.178825,0.000000,0.000000
tpx_trip_line_645_b_h_5,2.575370,4.178635,2.575198,1.037193,0.000000,0.000000
tpx_trip_line_645_b_h_6,2.575370,4.178635,2.575198,1.037193,0.000000,0.000000
tpx_trip_line_645_b_h_7,2.575370,4.178635,2.575198,1.037193,0.000000,0.000000
tpx_trip_line_645_b_h_8,2.575370,4.178635,2.575198,1.037193,0.000000,0.000000
tpx_trip_line_645_b_h_9,2.575370,4.178635,2.575198,1.037193,0.000000,0.000000
tpx_trip_line_645_b_h_1,2.575370,4.178635,2.575198,1.037193,0.000000,0.000000
tpx_trip_line_645_b_h_2,2.575370,4.178635,2.575198,1.037193,0.000000,0.000000
tpx_trip_line_645_b_h_3,2.575370,4.178635,2.575198,1.037193,0.000000,0.000000
tpx_trip_line_645_b_h_4,2.575370,4.178635,2.575198,1.037193,0.000000,0.000000
line_ol_684_c_xfmr_684_c_5,0.000000,0.000000,0.000000,0.000000,2.013514,2.070779
line_ol_684_c_xfmr_684_c_4,0.000000,0.000000,0.000000,0.000000,2.013514,2.070779
line_ol_684_c_xfmr_684_c_3,0.000000,0.000000,0.000000,0.000000,2.013514,2.070779
line_ol_684_c_xfmr_684_c_2,0.000000,0.000000,0.000000,0.000000,2.013514,2.070779
line_ol_684_c_xfmr_684_c_1,0.000000,0.000000,0.000000,0.000000,2.013514,2.070779
line_ol_675_c_xfmr_675_c_1,0.000000,0.000000,0.000000,0.000000,2.002454,2.068527
tpx_trip_line_692_c_h_40,2.516815,2.070738,2.516655,-1.070711,0.000000,0.000000
line_ol_675_c_xfmr_675_c_2,0.000000,0.000000,0.000000,0.000000,2.002454,2.068527
line_ol_675_c_xfmr_675_c_3,0.000000,0.000000,0.000000,0.000000,2.002454,2.068527
line_ol_675_c_xfmr_675_c_4,0.000000,0.000000,0.000000,0.000000,2.002454,2.068527
line_ol_675_c_xfmr_675_c_5,0.000000,0.000000,0.000000,0.000000,2.002454,2.068527
line_ol_671_c,0.000000,0.000000,0.000000,0.000000,10.066666,2.070879
line_ol_671_a,10.082615,-0.032860,0.000000,0.000000,0.000000,0.000000
line_ol_671_b,0.000000,0.000000,10.101610,4.170095,0.000000,0.000000
tpx_trip_line_632_a_h_6,2.572670,-0.017078,2.572498,3.124665,0.000000,0.000000
tpx_trip_line_632_a_h_7,2.572670,-0.017078,2.572498,3.124665,0.000000,0.000000
tpx_trip_line_632_a_h_4,2.572670,-0.017078,2.572498,3.124665,0.000000,0.000000
tpx_trip_line_632_a_h_5,2.572670,-0.017078,2.572498,3.124665,0.000000,0.000000
tpx_trip_line_632_a_h_2,2.572670,-0.017078,2.572498,3.124665,0.000000,0.000000
tpx_trip_line_632_a_h_3,2.572670,-0.017078,2.572498,3.124665,0.000000,0.000000
tpx_trip_line_632_a_h_1,2.572670,-0.017078,2.572498,3.124665,0.000000,0.000000
tpx_trip_line_632_a_h_8,2.572670,-0.017078,2.572498,3.124665,0.000000,0.000000
tpx_trip_line_632_a_h_9,2.572670,-0.017078,2.572498,3.124665,0.000000,0.000000
tpx_trip_line_671_a_h_40,2.520728,-0.032973,2.520567,3.108764,0.000000,0.000000
tpx_trip_line_692_b_h_12,2.525553,4.169954,2.525390,1.028506,0.000000,0.000000
tpx_trip_line_692_b_h_13,2.525553,4.169954,2.525390,1.028506,0.000000,0.000000
tpx_trip_line_692_b_h_10,2.525553,4.169954,2.525390,1.028506,0.000000,0.000000
tpx_trip_line_692_b_h_11,2.525553,4.169954,2.525390,1.028506,0.000000,0.000000
tpx_trip_line_692_b_h_16,2.525553,4.169954,2.525390,1.028506,0.000000,0.000000
tpx_trip_line_692_b_h_17,2.525553,4.169954,2.525390,1.028506,0.000000,0.000000
tpx_trip_line_692_b_h_14,2.525553,4.169954,2.525390,1.028506,0.000000,0.000000
tpx_trip_line_692_b_h_15,2.525553,4.169954,2.525390,1.028506,0.000000,0.000000
tpx_trip_line_692_b_h_18,2.525553,4.169954,2.525390,1.028506,0.000000,0.000000
tpx_trip_line_692_b_h_19,2.525553,4.169954,2.525390,1.028506,0.000000,0.000000
tpx_trip_line_692_c_h_25,2.516815,2.070738,2.516655,-1.070711,0.000000,0.000000
tpx_trip_line_692_c_h_24,2.516815,2.070738,2.516655,-1.070711,0.000000,0.000000
tpx_trip_line_692_c_h_23,2.516815,2.070738,2.516655,-1.070711,0.000000,0.000000
tpx_trip_line_692_c_h_22,2.516815,2.070738,2.516655,-1.070711,0.000000,0.000000
tpx_trip_line_692_c_h_21,2.516815,2.070738,2.516655,-1.070711,0.000000,0.000000
tpx_trip_line_692_c_h_20,2.516815,2.070738,2.516655,-1.070711,0.000000,0.000000
tpx_trip_line_632_b_h_40,2.575170,4.178718,2.574997,1.037275,0.000000,0.000000
tpx_trip_line_692_c_h_29,2.516815,2.070738,2.516655,-1.070711,0.000000,0.000000
tpx_trip_line_692_c_h_28,2.516815,2.070738,2.516655,-1.070711,0.000000,0.000000
tpx_trip_line_692_c_h_27,2.516815,2.070738,2.516655,-1.070711,0.000000,0.000000
tpx_trip_line_692_c_h_26,2.516815,2.070738,2.516655,-1.070711,0.000000,0.000000
tpx_trip_line_671_a_h_31,2.520728,-0.032973,2.520567,3.108764,0.000000,0.000000
tpx_trip_line_671_a_h_30,2.520728,-0.032973,2.520567,3.108764,0.000000,0.000000
tpx_trip_line_692_b_h_20,2.525553,4.169954,2.525390,1.028506,0.000000,0.000000
tpx_trip_line_632_b_h_39,2.575170,4.178718,2.574997,1.037275,0.000000,0.000000
tpx_trip_line_632_b_h_38,2.575170,4.178718,2.574997,1.037275,0.000000,0.000000
tpx_trip_line_632_b_h_37,2.575170,4.178718,2.574997,1.037275,0.000000,0.000000
tpx_trip_line_671_a_h_35,2.520728,-0.032973,2.520567,3.108764,0.000000,0.000000
tpx_trip_line_692_b_h_23,2.525553,4.169954,2.525390,1.028506,0.000000,0.000000
tpx_trip_line_632_b_h_36,2.575170,4.178718,2.574997,1.037275,0.000000,0.000000
tpx_trip_line_671_a_h_34,2.520728,-0.032973,2.520567,3.108764,0.000000,0.000000
tpx_trip_line_692_b_h_24,2.525553,4.169954,2.525390,1.028506,0.000000,0.000000
tpx_trip_line_632_b_h_35,2.575170,4.178718,2.574997,1.037275,0.000000,0.000000
tpx_trip_line_671_a_h_33,2.520728,-0.032973,2.520567,3.108764,0.000000,0.000000
tpx_trip_line_692_b_h_21,2.525553,4.169954,2.525390,1.028506,0.000000,0.000000
tpx_trip_line_632_b_h_34,2.575170,4.178718,2.574997,1.037275,0.000000,0.000000
