# Master_volt.csv run at 2000-01-01 00:00:00 EST on 3574 powerflow objects (not all are nodes)
node_name,voltA_mag,voltA_angle,voltB_mag,voltB_angle,voltC_mag,voltC_angle
cap_cap1,1649.653711,-0.051947,1644.848724,4.153839,1653.808798,2.053826
cap_cap2,1649.653711,-0.051947,1644.848724,4.153839,1653.808798,2.053826
trip_load_632_c_h_19,80.470670,2.066059,80.471768,2.066089,0.000000,0.000000
ld_trip_load_632_c_19,80.470670,2.066059,80.471768,2.066089,0.000000,0.000000
trip_load_632_c_h_17,80.470670,2.066059,80.471768,2.066089,0.000000,0.000000
ld_trip_load_632_c_17,80.470670,2.066059,80.471768,2.066089,0.000000,0.000000
trip_load_632_c_h_18,80.470670,2.066059,80.471768,2.066089,0.000000,0.000000
ld_trip_load_632_c_18,80.470670,2.066059,80.471768,2.066089,0.000000,0.000000
trip_load_684_c_h_40,82.232883,2.056057,82.233957,2.056087,0.000000,0.000000
ld_trip_load_684_c_40,82.232883,2.056057,82.233957,2.056087,0.000000,0.000000
trip_load_632_c_h_15,80.470670,2.066059,80.471768,2.066089,0.000000,0.000000
ld_trip_load_632_c_15,80.470670,2.066059,80.471768,2.066089,0.000000,0.000000
trip_load_632_c_h_16,80.470670,2.066059,80.471768,2.066089,0.000000,0.000000
ld_trip_load_632_c_16,80.470670,2.066059,80.471768,2.066089,0.000000,0.000000
meter_684_c,0.000000,0.000000,0.000000,0.000000,1644.670222,2.056076
trip_load_632_b_h_9,80.249718,4.164196,80.250819,4.164227,0.000000,0.000000
ld_trip_load_632_b_9,80.249718,4.164196,80.250819,4.164227,0.000000,0.000000
trip_load_632_b_h_5,80.249718,4.164196,80.250819,4.164227,0.000000,0.000000
ld_trip_load_632_b_5,80.249718,4.164196,80.250819,4.164227,0.000000,0.000000
trip_load_632_b_h_6,80.249718,4.164196,80.250819,4.164227,0.000000,0.000000
ld_trip_load_632_b_6,80.249718,4.164196,80.250819,4.164227,0.000000,0.000000
trip_load_632_b_h_7,80.249718,4.164196,80.250819,4.164227,0.000000,0.000000
ld_trip_load_632_b_7,80.249718,4.164196,80.250819,4.164227,0.000000,0.000000
trip_load_645_b_h_1,80.247156,4.164162,80.248257,4.164193,0.000000,0.000000
ld_trip_load_645_b_1,80.247156,4.164162,80.248257,4.164193,0.000000,0.000000
trip_load_632_b_h_8,80.249718,4.164196,80.250819,4.164227,0.000000,0.000000
ld_trip_load_632_b_8,80.249718,4.164196,80.250819,4.164227,0.000000,0.000000
trip_load_645_b_h_2,80.247156,4.164162,80.248257,4.164193,0.000000,0.000000
ld_trip_load_645_b_2,80.247156,4.164162,80.248257,4.164193,0.000000,0.000000
trip_load_632_b_h_1,80.249718,4.164196,80.250819,4.164227,0.000000,0.000000
ld_trip_load_632_b_1,80.249718,4.164196,80.250819,4.164227,0.000000,0.000000
trip_load_632_c_h_24,80.470670,2.066059,80.471768,2.066089,0.000000,0.000000
ld_trip_load_632_c_24,80.470670,2.066059,80.471768,2.066089,0.000000,0.000000
trip_load_645_b_h_3,80.247156,4.164162,80.248257,4.164193,0.000000,0.000000
ld_trip_load_645_b_3,80.247156,4.164162,80.248257,4.164193,0.000000,0.000000
trip_load_632_b_h_2,80.249718,4.164196,80.250819,4.164227,0.000000,0.000000
ld_trip_load_632_b_2,80.249718,4.164196,80.250819,4.164227,0.000000,0.000000
trip_load_632_c_h_25,80.470670,2.066059,80.471768,2.066089,0.000000,0.000000
ld_trip_load_632_c_25,80.470670,2.066059,80.471768,2.066089,0.000000,0.000000
trip_load_645_b_h_4,80.247156,4.164162,80.248257,4.164193,0.000000,0.000000
ld_trip_load_645_b_4,80.247156,4.164162,80.248257,4.164193,0.000000,0.000000
trip_load_632_b_h_3,80.249718,4.164196,80.250819,4.164227,0.000000,0.000000
ld_trip_load_632_b_3,80.249718,4.164196,80.250819,4.164227,0.000000,0.000000
trip_load_632_c_h_22,80.470670,2.066059,80.471768,2.066089,0.000000,0.000000
ld_trip_load_632_c_22,80.470670,2.066059,80.471768,2.066089,0.000000,0.000000
trip_load_645_b_h_5,80.247156,4.164162,80.248257,4.164193,0.000000,0.000000
ld_trip_load_645_b_5,80.247156,4.164162,80.248257,4.164193,0.000000,0.000000
trip_load_684_c_h_38,82.232883,2.056057,82.233957,2.056087,0.000000,0.000000
ld_trip_load_684_c_38,82.232883,2.056057,82.233957,2.056087,0.000000,0.000000
trip_load_632_b_h_4,80.249718,4.164196,80.250819,4.164227,0.000000,0.000000
ld_trip_load_632_b_4,80.249718,4.164196,80.250819,4.164227,0.000000,0.000000
trip_load_632_c_h_23,80.470670,2.066059,80.471768,2.066089,0.000000,0.000000
ld_trip_load_632_c_23,80.470670,2.066059,80.471768,2.066089,0.000000,0.000000
trip_load_645_b_h_6,80.247156,4.164162,80.248257,4.164193,0.000000,0.000000
ld_trip_load_645_b_6,80.247156,4.164162,80.248257,4.164193,0.000000,0.000000
trip_load_684_c_h_39,82.232883,2.056057,82.233957,2.056087,0.000000,0.000000
ld_trip_load_684_c_39,82.232883,2.056057,82.233957,2.056087,0.000000,0.000000
trip_load_632_c_h_20,80.470670,2.066059,80.471768,2.066089,0.000000,0.000000
ld_trip_load_632_c_20,80.470670,2.066059,80.471768,2.066089,0.000000,0.000000
trip_load_645_b_h_7,80.247156,4.164162,80.248257,4.164193,0.000000,0.000000
ld_trip_load_645_b_7,80.247156,4.164162,80.248257,4.164193,0.000000,0.000000
trip_load_684_c_h_36,82.232883,2.056057,82.233957,2.056087,0.000000,0.000000
ld_trip_load_684_c_36,82.232883,2.056057,82.233957,2.056087,0.000000,0.000000
trip_load_632_c_h_21,80.470670,2.066059,80.471768,2.066089,0.000000,0.000000
ld_trip_load_632_c_21,80.470670,2.066059,80.471768,2.066089,0.000000,0.000000
trip_load_645_b_h_8,80.247156,4.164162,80.248257,4.164193,0.000000,0.000000
ld_trip_load_645_b_8,80.247156,4.164162,80.248257,4.164193,0.000000,0.000000
trip_load_684_c_h_37,82.232883,2.056057,82.233957,2.056087,0.000000,0.000000
ld_trip_load_684_c_37,82.232883,2.056057,82.233957,2.056087,0.000000,0.000000
trip_load_645_b_h_9,80.247156,4.164162,80.248257,4.164193,0.000000,0.000000
ld_trip_load_645_b_9,80.247156,4.164162,80.248257,4.164193,0.000000,0.000000
trip_load_684_c_h_34,82.232883,2.056057,82.233957,2.056087,0.000000,0.000000
ld_trip_load_684_c_34,82.232883,2.056057,82.233957,2.056087,0.000000,0.000000
trip_load_684_c_h_35,82.232883,2.056057,82.233957,2.056087,0.000000,0.000000
ld_trip_load_684_c_35,82.232883,2.056057,82.233957,2.056087,0.000000,0.000000
trip_load_652_a_h_38,82.039998,-0.048666,82.041075,-0.048637,0.000000,0.000000
ld_trip_load_652_a_38,82.039998,-0.048666,82.041075,-0.048637,0.000000,0.000000
trip_load_652_a_h_37,82.039998,-0.048666,82.041075,-0.048637,0.000000,0.000000
ld_trip_load_652_a_37,82.039998,-0.048666,82.041075,-0.048637,0.000000,0.000000
trip_load_652_a_h_39,82.039998,-0.048666,82.041075,-0.048637,0.000000,0.000000
ld_trip_load_652_a_39,82.039998,-0.048666,82.041075,-0.048637,0.000000,0.000000
trip_load_632_c_h_28,80.470670,2.066059,80.471768,2.066089,0.000000,0.000000
ld_trip_load_632_c_28,80.470670,2.066059,80.471768,2.066089,0.000000,0.000000
trip_load_652_a_h_34,82.039998,-0.048666,82.041075,-0.048637,0.000000,0.000000
ld_trip_load_652_a_34,82.039998,-0.048666,82.041075,-0.048637,0.000000,0.000000
trip_load_671_a_h_17,82.047687,-0.048521,82.048764,-0.048492,0.000000,0.000000
ld_trip_load_671_a_17,82.047687,-0.048521,82.048764,-0.048492,0.000000,0.000000
trip_load_632_c_h_29,80.470670,2.066059,80.471768,2.066089,0.000000,0.000000
ld_trip_load_632_c_29,80.470670,2.066059,80.471768,2.066089,0.000000,0.000000
trip_load_652_a_h_33,82.039998,-0.048666,82.041075,-0.048637,0.000000,0.000000
ld_trip_load_652_a_33,82.039998,-0.048666,82.041075,-0.048637,0.000000,0.000000
trip_load_671_a_h_16,82.047687,-0.048521,82.048764,-0.048492,0.000000,0.000000
ld_trip_load_671_a_16,82.047687,-0.048521,82.048764,-0.048492,0.000000,0.000000
trip_load_632_c_h_26,80.470670,2.066059,80.471768,2.066089,0.000000,0.000000
ld_trip_load_632_c_26,80.470670,2.066059,80.471768,2.066089,0.000000,0.000000
trip_load_652_a_h_36,82.039998,-0.048666,82.041075,-0.048637,0.000000,0.000000
ld_trip_load_652_a_36,82.039998,-0.048666,82.041075,-0.048637,0.000000,0.000000
trip_load_671_a_h_19,82.047687,-0.048521,82.048764,-0.048492,0.000000,0.000000
