Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2, I3_1, Ang3_1, I3_2, Ang3_2, I3_3, Ang3_3, I3_4, Ang3_4, Iresid3, AngResid3
Vsource.SOURCE,     272.51,   -69.84,    273.623,   171.85,    274.336,    58.39,          0,     0.00,    37.0858,   153.41,     272.51,   110.16,    273.623,    -8.15,    274.336,  -121.61,          0,     0.00,    37.0858,   -26.59,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Transformer.TRANS_N650_N630,     272.51,   110.16,    273.623,    -8.15,    274.336,  -121.61,    37.0858,   153.41, 7.9613E-10,   134.98,    472.351,   -69.84,    474.281,   171.85,    475.517,    58.39,     64.282,   -26.59, 2.25487E-6,   150.13,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL632-645,     6.2449,   -92.34,  0.0274149,    59.10,          0,     0.00,          0,     0.00,    6.22084,   -92.21,    6.24495,    87.66,  0.0276795,  -120.99,          0,     0.00,          0,     0.00,    6.22067,    87.78,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL645-646, 0.000158727,     7.28, 0.000160858,  -130.23,          0,     0.00,          0,     0.00, 0.000115826,   -62.46, 3.63798E-12,   180.00, 1.49998E-11,    75.96,          0,     0.00,          0,     0.00, 1.45519E-11,    90.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL630-632,    472.351,   110.16,    474.281,    -8.15,    475.517,  -121.61,          0,     0.00,     64.282,   -26.59,     472.35,   -69.84,     474.28,   171.85,    475.515,    58.39,          0,     0.00,    64.2821,   153.41,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL632-6321,    470.994,   111.66,    472.749,    -5.89,    475.598,  -121.61,          0,     0.00,    49.7193,   -18.53,    470.993,   -68.34,    472.749,   174.11,    475.598,    58.39,          0,     0.00,    49.7193,   161.47,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL6321-671,    470.993,   111.66,    472.749,    -5.89,    475.598,  -121.61,          0,     0.00,    49.7193,   -18.53,    470.992,   -68.34,    472.748,   174.11,    475.597,    58.39,          0,     0.00,    49.7193,   161.47,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL671-680,    6.35209,    26.24,    6.39545,   -92.92,  0.0278723,    58.60,          0,     0.00,    6.45317,   -33.43,    6.35219,  -153.77,     6.3954,    87.07,  0.0284749,  -121.48,          0,     0.00,    6.45317,   146.57,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL671-684,    12.7058,    26.23,  0.0565881,    58.49,          0,     0.00,          0,     0.00,    12.7537,    26.37,    12.7058,  -153.77,  0.0567517,  -121.49,          0,     0.00,          0,     0.00,    12.7538,  -153.63,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL684-611,  0.0282791,    58.51,          0,     0.00,          0,     0.00,          0,     0.00,  0.0282791,    58.51,  0.0284726,  -121.49,          0,     0.00,          0,     0.00,          0,     0.00,  0.0284726,  -121.49,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.UL684-652,    6.35268,    26.23,          0,     0.00,          0,     0.00,          0,     0.00,    6.35268,    26.23,    6.35268,  -153.77,          0,     0.00,          0,     0.00,          0,     0.00,    6.35268,  -153.77,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.UL692-675,    469.524,   115.52,    472.142,    -3.56,    475.739,  -121.61,          0,     0.00,      22.34,   -28.93,    469.524,   -64.48,    472.142,   176.44,    475.738,    58.39,          0,     0.00,    22.3401,   151.07,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.UL632-633,    6.21645,    27.17,    6.24541,   -92.34,  0.0278234,    59.00,          0,     0.00,    6.27684,   -32.56,     6.2165,  -152.84,    6.24538,    87.66,  0.0281179,  -121.04,          0,     0.00,    6.27684,   147.44,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.S671-692,    469.647,   114.75,    472.258,    -4.34,     475.71,  -121.61,          0,     0.00,    28.7792,   -29.93,    469.647,   -65.25,    472.258,   175.66,     475.71,    58.39,          0,     0.00,    28.7792,   150.07,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL_652_A,    6.35268,    26.23,          0,     0.00,          0,     0.00,          0,     0.00,    6.35268,    26.23,    6.35268,  -153.77,          0,     0.00,          0,     0.00,          0,     0.00,    6.35268,  -153.77,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL_611_C,  0.0284726,    58.51,          0,     0.00,          0,     0.00,          0,     0.00,  0.0284726,    58.51,  0.0285049,  -121.49,          0,     0.00,          0,     0.00,          0,     0.00,  0.0285049,  -121.49,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL_684_A,    6.35309,    26.24,          0,     0.00,          0,     0.00,          0,     0.00,    6.35309,    26.24,    6.35309,  -153.77,          0,     0.00,          0,     0.00,          0,     0.00,    6.35309,  -153.77,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL_684_C,  0.0284726,    58.51,          0,     0.00,          0,     0.00,          0,     0.00,  0.0284726,    58.51,  0.0285049,  -121.49,          0,     0.00,          0,     0.00,          0,     0.00,  0.0285049,  -121.49,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL_645_B,    6.24497,   -92.34,          0,     0.00,          0,     0.00,          0,     0.00,    6.24497,   -92.34,    6.24497,    87.66,          0,     0.00,          0,     0.00,          0,     0.00,    6.24497,    87.66,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL_645_C,  0.0278383,    58.96,          0,     0.00,          0,     0.00,          0,     0.00,  0.0278383,    58.96,  0.0278698,  -121.04,          0,     0.00,          0,     0.00,          0,     0.00,  0.0278698,  -121.04,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL_633_A,     6.2165,    27.17,          0,     0.00,          0,     0.00,          0,     0.00,     6.2165,    27.17,     6.2165,  -152.83,          0,     0.00,          0,     0.00,          0,     0.00,     6.2165,  -152.83,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL_633_B,    6.24538,   -92.34,          0,     0.00,          0,     0.00,          0,     0.00,    6.24538,   -92.34,    6.24538,    87.66,          0,     0.00,          0,     0.00,          0,     0.00,    6.24538,    87.66,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL_633_C,  0.0278376,    58.96,          0,     0.00,          0,     0.00,          0,     0.00,  0.0278376,    58.96,  0.0278692,  -121.04,          0,     0.00,          0,     0.00,          0,     0.00,  0.0278692,  -121.04,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL_632_A,    6.21717,    27.17,          0,     0.00,          0,     0.00,          0,     0.00,    6.21717,    27.17,    6.21717,  -152.83,          0,     0.00,          0,     0.00,          0,     0.00,    6.21717,  -152.83,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL_632_B,    6.24535,   -92.33,          0,     0.00,          0,     0.00,          0,     0.00,    6.24535,   -92.33,    6.24535,    87.67,          0,     0.00,          0,     0.00,          0,     0.00,    6.24535,    87.67,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL_632_C,   0.027837,    58.96,          0,     0.00,          0,     0.00,          0,     0.00,   0.027837,    58.96,  0.0278685,  -121.04,          0,     0.00,          0,     0.00,          0,     0.00,  0.0278685,  -121.04,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL_692_A,    6.35379,    26.24,          0,     0.00,          0,     0.00,          0,     0.00,    6.35379,    26.24,    6.35379,  -153.76,          0,     0.00,          0,     0.00,          0,     0.00,    6.35379,  -153.76,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL_692_B,    6.39557,   -92.92,          0,     0.00,          0,     0.00,          0,     0.00,    6.39557,   -92.92,    6.39557,    87.08,          0,     0.00,          0,     0.00,          0,     0.00,    6.39557,    87.08,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL_692_C,  0.0284746,    58.51,          0,     0.00,          0,     0.00,          0,     0.00,  0.0284746,    58.51,  0.0285069,  -121.49,          0,     0.00,          0,     0.00,          0,     0.00,  0.0285069,  -121.49,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL_675_A,    6.39099,    26.04,          0,     0.00,          0,     0.00,          0,     0.00,    6.39099,    26.04,    6.39099,  -153.96,          0,     0.00,          0,     0.00,          0,     0.00,    6.39099,  -153.96,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL_675_B,    6.43224,   -93.05,          0,     0.00,          0,     0.00,          0,     0.00,    6.43224,   -93.05,    6.43224,    86.95,          0,     0.00,          0,     0.00,          0,     0.00,    6.43224,    86.95,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL_675_C,  0.0286338,    58.39,          0,     0.00,          0,     0.00,          0,     0.00,  0.0286338,    58.39,  0.0286662,  -121.61,          0,     0.00,          0,     0.00,          0,     0.00,  0.0286662,  -121.61,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL_671_A,    6.35355,    26.24,          0,     0.00,          0,     0.00,          0,     0.00,    6.35355,    26.24,    6.35355,  -153.76,          0,     0.00,          0,     0.00,          0,     0.00,    6.35355,  -153.76,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL_671_B,    6.39533,   -92.92,          0,     0.00,          0,     0.00,          0,     0.00,    6.39533,   -92.92,    6.39533,    87.08,          0,     0.00,          0,     0.00,          0,     0.00,    6.39533,    87.08,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL_671_C,  0.0284736,    58.51,          0,     0.00,          0,     0.00,          0,     0.00,  0.0284736,    58.51,  0.0285058,  -121.49,          0,     0.00,          0,     0.00,          0,     0.00,  0.0285058,  -121.49,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL_680_A,    6.35219,    26.23,          0,     0.00,          0,     0.00,          0,     0.00,    6.35219,    26.23,    6.35219,  -153.77,          0,     0.00,          0,     0.00,          0,     0.00,    6.35219,  -153.77,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL_680_B,     6.3954,   -92.93,          0,     0.00,          0,     0.00,          0,     0.00,     6.3954,   -92.93,     6.3954,    87.07,          0,     0.00,          0,     0.00,          0,     0.00,     6.3954,    87.07,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL_680_C,  0.0284749,    58.52,          0,     0.00,          0,     0.00,          0,     0.00,  0.0284749,    58.52,  0.0285071,  -121.48,          0,     0.00,          0,     0.00,          0,     0.00,  0.0285071,  -121.48,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL_652_A_XFMR_652_A_1,    1.27054,    26.23,          0,     0.00,          0,     0.00,          0,     0.00,    1.27054,    26.23,    1.27054,  -153.77,          0,     0.00,          0,     0.00,          0,     0.00,    1.27054,  -153.77,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_652_A_H_1,    3.17631,    26.48, 1.46486E-6,   -63.51,          0,     0.00,          0,     0.00,    3.17631,    26.48,    3.17631,  -153.52, 3.63798E-12,   -90.00,          0,     0.00,          0,     0.00,    3.17631,  -153.52,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_652_A_H_2,    3.17631,    26.48, 1.46487E-6,   -63.51,          0,     0.00,          0,     0.00,    3.17631,    26.48,    3.17631,  -153.52, 8.13477E-12,   116.57,          0,     0.00,          0,     0.00,    3.17631,  -153.52,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_652_A_H_3,    3.17631,    26.48, 1.46487E-6,   -63.51,          0,     0.00,          0,     0.00,    3.17631,    26.48,    3.17631,  -153.52, 8.13477E-12,   116.57,          0,     0.00,          0,     0.00,    3.17631,  -153.52,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_652_A_H_4,    3.17631,    26.48, 1.46487E-6,   -63.51,          0,     0.00,          0,     0.00,    3.17631,    26.48,    3.17631,  -153.52, 8.13477E-12,   116.57,          0,     0.00,          0,     0.00,    3.17631,  -153.52,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_652_A_H_5,    3.17631,    26.48, 1.46487E-6,   -63.51,          0,     0.00,          0,     0.00,    3.17631,    26.48,    3.17631,  -153.52, 8.13477E-12,   116.57,          0,     0.00,          0,     0.00,    3.17631,  -153.52,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_652_A_H_6,    3.17631,    26.48, 1.46487E-6,   -63.51,          0,     0.00,          0,     0.00,    3.17631,    26.48,    3.17631,  -153.52, 8.13477E-12,   116.57,          0,     0.00,          0,     0.00,    3.17631,  -153.52,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_652_A_H_7,    3.17631,    26.48, 1.46487E-6,   -63.51,          0,     0.00,          0,     0.00,    3.17631,    26.48,    3.17631,  -153.52, 8.13477E-12,   116.57,          0,     0.00,          0,     0.00,    3.17631,  -153.52,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_652_A_H_8,    3.17631,    26.48, 1.46487E-6,   -63.51,          0,     0.00,          0,     0.00,    3.17631,    26.48,    3.17631,  -153.52, 8.13477E-12,   116.57,          0,     0.00,          0,     0.00,    3.17631,  -153.52,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL_652_A_XFMR_652_A_2,    1.27054,    26.23,          0,     0.00,          0,     0.00,          0,     0.00,    1.27054,    26.23,    1.27054,  -153.77,          0,     0.00,          0,     0.00,          0,     0.00,    1.27054,  -153.77,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_652_A_H_9,    3.17631,    26.48, 1.46486E-6,   -63.51,          0,     0.00,          0,     0.00,    3.17631,    26.48,    3.17631,  -153.52, 3.63798E-12,    90.00,          0,     0.00,          0,     0.00,    3.17631,  -153.52,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_652_A_H_10,    3.17631,    26.48, 1.46486E-6,   -63.51,          0,     0.00,          0,     0.00,    3.17631,    26.48,    3.17631,  -153.52, 7.27596E-12,   180.00,          0,     0.00,          0,     0.00,    3.17631,  -153.52,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_652_A_H_11,    3.17631,    26.48, 1.46486E-6,   -63.51,          0,     0.00,          0,     0.00,    3.17631,    26.48,    3.17631,  -153.52, 7.27596E-12,   180.00,          0,     0.00,          0,     0.00,    3.17631,  -153.52,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_652_A_H_12,    3.17631,    26.48, 1.46486E-6,   -63.51,          0,     0.00,          0,     0.00,    3.17631,    26.48,    3.17631,  -153.52, 7.27596E-12,   180.00,          0,     0.00,          0,     0.00,    3.17631,  -153.52,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_652_A_H_13,    3.17631,    26.48, 1.46486E-6,   -63.51,          0,     0.00,          0,     0.00,    3.17631,    26.48,    3.17631,  -153.52, 7.27596E-12,   180.00,          0,     0.00,          0,     0.00,    3.17631,  -153.52,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_652_A_H_14,    3.17631,    26.48, 1.46486E-6,   -63.51,          0,     0.00,          0,     0.00,    3.17631,    26.48,    3.17631,  -153.52, 7.27596E-12,   180.00,          0,     0.00,          0,     0.00,    3.17631,  -153.52,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_652_A_H_15,    3.17631,    26.48, 1.46486E-6,   -63.51,          0,     0.00,          0,     0.00,    3.17631,    26.48,    3.17631,  -153.52, 7.27596E-12,   180.00,          0,     0.00,          0,     0.00,    3.17631,  -153.52,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_652_A_H_16,    3.17631,    26.48, 1.46486E-6,   -63.51,          0,     0.00,          0,     0.00,    3.17631,    26.48,    3.17631,  -153.52, 7.27596E-12,   180.00,          0,     0.00,          0,     0.00,    3.17631,  -153.52,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL_652_A_XFMR_652_A_3,    1.27054,    26.23,          0,     0.00,          0,     0.00,          0,     0.00,    1.27054,    26.23,    1.27054,  -153.77,          0,     0.00,          0,     0.00,          0,     0.00,    1.27054,  -153.77,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_652_A_H_17,    3.17631,    26.48, 1.46486E-6,   -63.51,          0,     0.00,          0,     0.00,    3.17631,    26.48,    3.17631,  -153.52, 3.63798E-12,    90.00,          0,     0.00,          0,     0.00,    3.17631,  -153.52,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_652_A_H_18,    3.17631,    26.48, 1.46486E-6,   -63.51,          0,     0.00,          0,     0.00,    3.17631,    26.48,    3.17631,  -153.52, 7.27596E-12,   180.00,          0,     0.00,          0,     0.00,    3.17631,  -153.52,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_652_A_H_19,    3.17631,    26.48, 1.46486E-6,   -63.51,          0,     0.00,          0,     0.00,    3.17631,    26.48,    3.17631,  -153.52, 7.27596E-12,   180.00,          0,     0.00,          0,     0.00,    3.17631,  -153.52,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_652_A_H_20,    3.17631,    26.48, 1.46486E-6,   -63.51,          0,     0.00,          0,     0.00,    3.17631,    26.48,    3.17631,  -153.52, 7.27596E-12,   180.00,          0,     0.00,          0,     0.00,    3.17631,  -153.52,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_652_A_H_21,    3.17631,    26.48, 1.46486E-6,   -63.51,          0,     0.00,          0,     0.00,    3.17631,    26.48,    3.17631,  -153.52, 7.27596E-12,   180.00,          0,     0.00,          0,     0.00,    3.17631,  -153.52,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_652_A_H_22,    3.17631,    26.48, 1.46486E-6,   -63.51,          0,     0.00,          0,     0.00,    3.17631,    26.48,    3.17631,  -153.52, 7.27596E-12,   180.00,          0,     0.00,          0,     0.00,    3.17631,  -153.52,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_652_A_H_23,    3.17631,    26.48, 1.46486E-6,   -63.51,          0,     0.00,          0,     0.00,    3.17631,    26.48,    3.17631,  -153.52, 7.27596E-12,   180.00,          0,     0.00,          0,     0.00,    3.17631,  -153.52,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_652_A_H_24,    3.17631,    26.48, 1.46486E-6,   -63.51,          0,     0.00,          0,     0.00,    3.17631,    26.48,    3.17631,  -153.52, 7.27596E-12,   180.00,          0,     0.00,          0,     0.00,    3.17631,  -153.52,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL_652_A_XFMR_652_A_4,    1.27054,    26.23,          0,     0.00,          0,     0.00,          0,     0.00,    1.27054,    26.23,    1.27054,  -153.77,          0,     0.00,          0,     0.00,          0,     0.00,    1.27054,  -153.77,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_652_A_H_25,    3.17631,    26.48, 1.46486E-6,   -63.51,          0,     0.00,          0,     0.00,    3.17631,    26.48,    3.17631,  -153.52, 3.63798E-12,    90.00,          0,     0.00,          0,     0.00,    3.17631,  -153.52,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
