Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"N650", 4.16, 1,    2401.99,   30.0,    1.0001, 2,    2401.99,  -90.0,    1.0001, 3,    2402.01,  150.0,    1.0001
"N630", 2.4, 1,    1572.15,   28.4,    1.1346, 2,    1573.97,  -91.4,    1.1359, 3,     1577.2,  149.4,    1.1382
"N632", 2.4, 1,     1600.5,   27.4,    1.1551, 2,    1606.74,  -92.1,    1.1596, 3,    1614.64,  149.0,    1.1653
"N645", 2.4, 2,    1606.66,  -92.1,    1.1595, 3,    1614.72,  149.0,    1.1653, 0, 0, 0, 0
"N646", 2.4, 2,    1606.66,  -92.1,    1.1595, 3,    1614.72,  149.0,    1.1653, 0, 0, 0, 0
"N6321", 2.4, 1,    1608.01,   27.2,    1.1605, 2,    1615.04,  -92.2,    1.1656, 3,    1623.87,  148.8,    1.1719
"N671", 2.4, 1,    1630.72,   26.5,    1.1769, 2,    1639.98,  -92.7,    1.1836, 3,    1651.57,  148.5,    1.1919
"N680", 2.4, 1,    1630.42,   26.5,    1.1767, 2,    1639.99,  -92.7,    1.1836, 3,    1651.64,  148.5,     1.192
"N684", 2.4, 1,    1630.62,   26.5,    1.1768, 3,    1651.51,  148.5,    1.1919, 0, 0, 0, 0
"N611", 2.4, 3,    1651.51,  148.5,    1.1919, 0, 0, 0, 0, 0, 0, 0, 0
"N652", 2.4, 1,    1630.53,   26.5,    1.1767, 0, 0, 0, 0, 0, 0, 0, 0
"N692", 2.4, 1,    1630.77,   26.5,    1.1769, 2,    1640.03,  -92.7,    1.1836, 3,    1651.63,  148.5,     1.192
"N675", 2.4, 1,    1639.01,   26.3,    1.1829, 2,    1648.15,  -92.8,    1.1895, 3,    1660.86,  148.4,    1.1986
"N633", 2.4, 1,    1600.35,   27.4,     1.155, 2,    1606.75,  -92.1,    1.1596, 3,    1614.68,  149.0,    1.1653
"METER_652_A", 2.4, 1,    1630.52,   26.5,    1.1767, 0, 0, 0, 0, 0, 0, 0, 0
"METER_611_C", 2.4, 3,    1651.51,  148.5,    1.1919, 0, 0, 0, 0, 0, 0, 0, 0
"METER_684_A", 2.4, 1,    1630.61,   26.5,    1.1768, 0, 0, 0, 0, 0, 0, 0, 0
"METER_684_C", 2.4, 3,    1651.51,  148.5,    1.1919, 0, 0, 0, 0, 0, 0, 0, 0
"METER_645_B", 2.4, 2,    1606.65,  -92.1,    1.1595, 0, 0, 0, 0, 0, 0, 0, 0
"METER_645_C", 2.4, 3,    1614.72,  149.0,    1.1653, 0, 0, 0, 0, 0, 0, 0, 0
"METER_633_A", 2.4, 1,    1600.34,   27.4,    1.1549, 0, 0, 0, 0, 0, 0, 0, 0
"METER_633_B", 2.4, 2,    1606.74,  -92.1,    1.1596, 0, 0, 0, 0, 0, 0, 0, 0
"METER_633_C", 2.4, 3,    1614.68,  149.0,    1.1653, 0, 0, 0, 0, 0, 0, 0, 0
"METER_632_A", 2.4, 1,    1600.49,   27.4,    1.1551, 0, 0, 0, 0, 0, 0, 0, 0
"METER_632_B", 2.4, 2,    1606.74,  -92.1,    1.1596, 0, 0, 0, 0, 0, 0, 0, 0
"METER_632_C", 2.4, 3,    1614.64,  149.0,    1.1653, 0, 0, 0, 0, 0, 0, 0, 0
"METER_692_A", 2.4, 1,    1630.76,   26.5,    1.1769, 0, 0, 0, 0, 0, 0, 0, 0
"METER_692_B", 2.4, 2,    1640.02,  -92.7,    1.1836, 0, 0, 0, 0, 0, 0, 0, 0
"METER_692_C", 2.4, 3,    1651.63,  148.5,     1.192, 0, 0, 0, 0, 0, 0, 0, 0
"METER_675_A", 2.4, 1,    1639.01,   26.3,    1.1829, 0, 0, 0, 0, 0, 0, 0, 0
"METER_675_B", 2.4, 2,    1648.15,  -92.8,    1.1894, 0, 0, 0, 0, 0, 0, 0, 0
"METER_675_C", 2.4, 3,    1660.86,  148.4,    1.1986, 0, 0, 0, 0, 0, 0, 0, 0
"METER_671_A", 2.4, 1,    1630.71,   26.5,    1.1769, 0, 0, 0, 0, 0, 0, 0, 0
"METER_671_B", 2.4, 2,    1639.97,  -92.7,    1.1835, 0, 0, 0, 0, 0, 0, 0, 0
"METER_671_C", 2.4, 3,    1651.57,  148.5,    1.1919, 0, 0, 0, 0, 0, 0, 0, 0
"METER_680_A", 2.4, 1,    1630.41,   26.5,    1.1766, 0, 0, 0, 0, 0, 0, 0, 0
"METER_680_B", 2.4, 2,    1639.99,  -92.7,    1.1836, 0, 0, 0, 0, 0, 0, 0, 0
"METER_680_C", 2.4, 3,    1651.64,  148.5,     1.192, 0, 0, 0, 0, 0, 0, 0, 0
"XFMR_METER_652_A_1", 2.4, 1,    1630.52,   26.5,    1.1767, 0, 0, 0, 0, 0, 0, 0, 0
"TRIP_NODE_652_A_1", 0.12, 1,    81.5259,   26.5,    1.1767, 2,    81.5259, -153.5,    1.1767, 0, 0, 0, 0
"TRIP_LOAD_652_A_H_1", 0.12, 1,    81.5217,   26.5,    1.1767, 2,    81.5273, -153.5,    1.1767, 0, 0, 0, 0
"TRIP_LOAD_652_A_H_2", 0.12, 1,    81.5217,   26.5,    1.1767, 2,    81.5273, -153.5,    1.1767, 0, 0, 0, 0
"TRIP_LOAD_652_A_H_3", 0.12, 1,    81.5217,   26.5,    1.1767, 2,    81.5273, -153.5,    1.1767, 0, 0, 0, 0
"TRIP_LOAD_652_A_H_4", 0.12, 1,    81.5217,   26.5,    1.1767, 2,    81.5273, -153.5,    1.1767, 0, 0, 0, 0
"TRIP_LOAD_652_A_H_5", 0.12, 1,    81.5217,   26.5,    1.1767, 2,    81.5273, -153.5,    1.1767, 0, 0, 0, 0
"TRIP_LOAD_652_A_H_6", 0.12, 1,    81.5217,   26.5,    1.1767, 2,    81.5273, -153.5,    1.1767, 0, 0, 0, 0
"TRIP_LOAD_652_A_H_7", 0.12, 1,    81.5217,   26.5,    1.1767, 2,    81.5273, -153.5,    1.1767, 0, 0, 0, 0
"TRIP_LOAD_652_A_H_8", 0.12, 1,    81.5217,   26.5,    1.1767, 2,    81.5273, -153.5,    1.1767, 0, 0, 0, 0
"XFMR_METER_652_A_2", 2.4, 1,    1630.52,   26.5,    1.1767, 0, 0, 0, 0, 0, 0, 0, 0
"TRIP_NODE_652_A_2", 0.12, 1,    81.5259,   26.5,    1.1767, 2,    81.5259, -153.5,    1.1767, 0, 0, 0, 0
"TRIP_LOAD_652_A_H_9", 0.12, 1,    81.5217,   26.5,    1.1767, 2,    81.5273, -153.5,    1.1767, 0, 0, 0, 0
"TRIP_LOAD_652_A_H_10", 0.12, 1,    81.5217,   26.5,    1.1767, 2,    81.5273, -153.5,    1.1767, 0, 0, 0, 0
"TRIP_LOAD_652_A_H_11", 0.12, 1,    81.5217,   26.5,    1.1767, 2,    81.5273, -153.5,    1.1767, 0, 0, 0, 0
"TRIP_LOAD_652_A_H_12", 0.12, 1,    81.5217,   26.5,    1.1767, 2,    81.5273, -153.5,    1.1767, 0, 0, 0, 0
"TRIP_LOAD_652_A_H_13", 0.12, 1,    81.5217,   26.5,    1.1767, 2,    81.5273, -153.5,    1.1767, 0, 0, 0, 0
"TRIP_LOAD_652_A_H_14", 0.12, 1,    81.5217,   26.5,    1.1767, 2,    81.5273, -153.5,    1.1767, 0, 0, 0, 0
"TRIP_LOAD_652_A_H_15", 0.12, 1,    81.5217,   26.5,    1.1767, 2,    81.5273, -153.5,    1.1767, 0, 0, 0, 0
"TRIP_LOAD_652_A_H_16", 0.12, 1,    81.5217,   26.5,    1.1767, 2,    81.5273, -153.5,    1.1767, 0, 0, 0, 0
"XFMR_METER_652_A_3", 2.4, 1,    1630.52,   26.5,    1.1767, 0, 0, 0, 0, 0, 0, 0, 0
"TRIP_NODE_652_A_3", 0.12, 1,    81.5259,   26.5,    1.1767, 2,    81.5259, -153.5,    1.1767, 0, 0, 0, 0
"TRIP_LOAD_652_A_H_17", 0.12, 1,    81.5217,   26.5,    1.1767, 2,    81.5273, -153.5,    1.1767, 0, 0, 0, 0
