hour, t(sec), P1 (kW), Q1 (kvar)
1, 0.00000, 8.92146, 0.0454954
2, 0.00000, 8.25175, 0.0453606
3, 0.00000, 8.03127, 0.0453193
4, 0.00000, 7.69965, 0.04526
5, 0.00000, 7.66019, 0.0452532
6, 0.00000, 7.95035, 0.0453043
7, 0.00000, 8.66103, 0.0454412
8, 0.00000, 9.84057, 0.0457118
9, 0.00000, 10.9333, 0.0460072
10, 0.00000, 11.5539, 0.0461768
11, 0.00000, 12.3281, 0.0464318
12, 0.00000, 12.9591, 0.0466392
13, 0.00000, 12.9076, 0.0465682
14, 0.00000, 12.8432, 0.0465461
15, 0.00000, 12.9693, 0.0466027
16, 0.00000, 13.0877, 0.0466422
17, 0.00000, 13.1005, 0.0466377
18, 0.00000, 12.56, 0.0464229
19, 0.00000, 12.2765, 0.0463529
20, 0.00000, 11.9799, 0.0462634
21, 0.00000, 11.5022, 0.0461188
22, 0.00000, 11.5022, 0.0461373
23, 0.00000, 10.8815, 0.0459484
24, 0.00000, 9.94828, 0.0457158
