hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
0, 900.00000, 111.878, -644.932, 93.1502, -650.606, 18.514, -658.696, 0, 0
0, 1800.00000, 111.878, -644.932, 93.1501, -650.606, 18.514, -658.696, 0, 0
0, 2700.00000, 103.306, -646.168, 85.4055, -651.038, 18.7745, -658.57, 0, 0
1, 0.00000, 103.306, -646.168, 85.4055, -651.038, 18.7746, -658.57, 0, 0
1, 900.00000, 103.306, -646.168, 85.4055, -651.038, 18.7746, -658.57, 0, 0
1, 1800.00000, 97.7169, -646.955, 80.3654, -651.302, 18.9446, -658.489, 0, 0
1, 2700.00000, 97.7169, -646.955, 80.3654, -651.302, 18.9446, -658.489, 0, 0
2, 0.00000, 97.7169, -646.955, 80.3654, -651.302, 18.9446, -658.489, 0, 0
2, 900.00000, 97.7169, -646.955, 80.3654, -651.302, 18.9446, -658.489, 0, 0
2, 1800.00000, 97.7169, -646.955, 80.3654, -651.302, 18.9446, -658.489, 0, 0
2, 2700.00000, 95.8772, -647.21, 78.7081, -651.386, 19.0006, -658.462, 0, 0
3, 0.00000, 95.8772, -647.21, 78.7081, -651.386, 19.0006, -658.462, 0, 0
3, 900.00000, 95.8772, -647.21, 78.7081, -651.386, 19.0006, -658.462, 0, 0
3, 1800.00000, 93.1101, -647.591, 76.217, -651.51, 19.0849, -658.422, 0, 0
3, 2700.00000, 93.1101, -647.591, 76.217, -651.51, 19.0849, -658.422, 0, 0
4, 0.00000, 93.1101, -647.591, 76.217, -651.51, 19.0849, -658.422, 0, 0
4, 900.00000, 93.1101, -647.591, 76.217, -651.51, 19.0849, -658.422, 0, 0
4, 1800.00000, 93.1101, -647.591, 76.217, -651.51, 19.0849, -658.422, 0, 0
4, 2700.00000, 92.781, -647.636, 75.9208, -651.525, 19.0949, -658.417, 0, 0
5, 0.00000, 92.781, -647.636, 75.9208, -651.525, 19.0949, -658.417, 0, 0
5, 900.00000, 92.781, -647.636, 75.9208, -651.525, 19.0949, -658.417, 0, 0
5, 1800.00000, 95.202, -647.303, 78.1001, -651.417, 19.0212, -658.452, 0, 0
5, 2700.00000, 95.202, -647.303, 78.1001, -651.417, 19.0212, -658.452, 0, 0
6, 0.00000, 95.202, -647.303, 78.1001, -651.417, 19.0212, -658.452, 0, 0
6, 900.00000, 95.202, -647.303, 78.1001, -651.417, 19.0212, -658.452, 0, 0
6, 1800.00000, 95.202, -647.303, 78.1001, -651.417, 19.0212, -658.452, 0, 0
6, 2700.00000, 101.132, -646.476, 83.4445, -651.142, 18.8407, -658.538, 0, 0
7, 0.00000, 101.132, -646.476, 83.4445, -651.142, 18.8407, -658.538, 0, 0
7, 900.00000, 101.132, -646.476, 83.4445, -651.142, 18.8407, -658.538, 0, 0
7, 1800.00000, 110.978, -645.064, 92.3366, -650.653, 18.5414, -658.683, 0, 0
7, 2700.00000, 110.978, -645.064, 92.3366, -650.653, 18.5414, -658.683, 0, 0
8, 0.00000, 110.978, -645.064, 92.3366, -650.653, 18.5414, -658.683, 0, 0
8, 900.00000, 110.978, -645.064, 92.3366, -650.653, 18.5414, -658.683, 0, 0
8, 1800.00000, 110.978, -645.064, 92.3366, -650.653, 18.5414, -658.683, 0, 0
8, 2700.00000, 120.102, -643.712, 100.599, -650.161, 18.2644, -658.819, 0, 0
9, 0.00000, 120.102, -643.712, 100.598, -650.161, 18.2644, -658.819, 0, 0
9, 900.00000, 120.102, -643.712, 100.598, -650.161, 18.2644, -658.819, 0, 0
9, 1800.00000, 125.286, -642.925, 105.302, -649.865, 18.1072, -658.898, 0, 0
