class_name_phs,ibase,iglm,idiff
LINE_OL645-646_B,0.000,0.000,0.000
LINE_OL645-646_C,0.000,0.000,0.000
XF_T633-634_B,0.000,0.000,0.000
XF_T633-634_A,0.000,0.000,0.000
XF_T633-634_C,0.000,0.000,0.000
LINE_OL_632_B_XFMR_632_B_1_B,0.006,0.000,0.006
LINE_OL_632_B_XFMR_632_B_2_B,0.006,0.000,0.006
LINE_OL_632_B_XFMR_632_B_3_B,0.006,0.000,0.006
LINE_OL_632_B_XFMR_632_B_4_B,0.006,0.000,0.006
LINE_OL_632_B_XFMR_632_B_5_B,0.006,0.000,0.006
LINE_OL_633_B_XFMR_633_B_1_B,0.006,0.000,0.006
LINE_OL_633_B_XFMR_633_B_2_B,0.006,0.000,0.006
LINE_OL_633_B_XFMR_633_B_3_B,0.006,0.000,0.006
LINE_OL_633_B_XFMR_633_B_4_B,0.006,0.000,0.006
LINE_OL_633_B_XFMR_633_B_5_B,0.006,0.000,0.006
LINE_OL_645_B_XFMR_645_B_1_B,0.006,0.000,0.006
LINE_OL_645_B_XFMR_645_B_2_B,0.006,0.000,0.006
LINE_OL_645_B_XFMR_645_B_3_B,0.006,0.000,0.006
LINE_OL_645_B_XFMR_645_B_4_B,0.006,0.000,0.006
LINE_OL_645_B_XFMR_645_B_5_B,0.006,0.000,0.006
LINE_OL_633_A_XFMR_633_A_1_A,0.006,0.000,0.006
LINE_OL_633_A_XFMR_633_A_2_A,0.006,0.000,0.006
LINE_OL_633_A_XFMR_633_A_3_A,0.006,0.000,0.006
LINE_OL_633_A_XFMR_633_A_4_A,0.006,0.000,0.006
LINE_OL_633_A_XFMR_633_A_5_A,0.006,0.000,0.006
LINE_OL_632_A_XFMR_632_A_1_A,0.006,0.000,0.006
LINE_OL_632_A_XFMR_632_A_2_A,0.006,0.000,0.006
LINE_OL_632_A_XFMR_632_A_3_A,0.006,0.000,0.006
LINE_OL_632_A_XFMR_632_A_4_A,0.006,0.000,0.006
LINE_OL_632_A_XFMR_632_A_5_A,0.006,0.000,0.006
LINE_OL_633_C_XFMR_633_C_1_C,0.006,0.000,0.006
LINE_OL_633_C_XFMR_633_C_2_C,0.006,0.000,0.006
LINE_OL_633_C_XFMR_633_C_3_C,0.006,0.000,0.006
LINE_OL_633_C_XFMR_633_C_4_C,0.006,0.000,0.006
LINE_OL_633_C_XFMR_633_C_5_C,0.006,0.000,0.006
LINE_OL_645_C_XFMR_645_C_1_C,0.006,0.000,0.006
LINE_OL_645_C_XFMR_645_C_2_C,0.006,0.000,0.006
LINE_OL_645_C_XFMR_645_C_3_C,0.006,0.000,0.006
LINE_OL_645_C_XFMR_645_C_4_C,0.006,0.000,0.006
LINE_OL_645_C_XFMR_645_C_5_C,0.006,0.000,0.006
LINE_OL_632_C_XFMR_632_C_1_C,0.006,0.000,0.006
LINE_OL_632_C_XFMR_632_C_2_C,0.006,0.000,0.006
LINE_OL_632_C_XFMR_632_C_3_C,0.006,0.000,0.006
LINE_OL_632_C_XFMR_632_C_4_C,0.006,0.000,0.006
LINE_OL_632_C_XFMR_632_C_5_C,0.006,0.000,0.006
XF_XFMR_632_B_1_B,0.006,0.000,0.006
XF_XFMR_632_B_2_B,0.006,0.000,0.006
XF_XFMR_632_B_3_B,0.006,0.000,0.006
XF_XFMR_632_B_4_B,0.006,0.000,0.006
XF_XFMR_632_B_5_B,0.006,0.000,0.006
XF_XFMR_633_B_1_B,0.006,0.000,0.006
XF_XFMR_633_B_2_B,0.006,0.000,0.006
XF_XFMR_633_B_3_B,0.006,0.000,0.006
XF_XFMR_633_B_4_B,0.006,0.000,0.006
XF_XFMR_633_B_5_B,0.006,0.000,0.006
XF_XFMR_645_B_1_B,0.006,0.000,0.006
XF_XFMR_645_B_2_B,0.006,0.000,0.006
XF_XFMR_645_B_3_B,0.006,0.000,0.006
XF_XFMR_645_B_4_B,0.006,0.000,0.006
XF_XFMR_645_B_5_B,0.006,0.000,0.006
XF_XFMR_632_A_1_A,0.006,0.000,0.006
XF_XFMR_632_A_2_A,0.006,0.000,0.006
XF_XFMR_632_A_3_A,0.006,0.000,0.006
XF_XFMR_632_A_4_A,0.006,0.000,0.006
XF_XFMR_632_A_5_A,0.006,0.000,0.006
XF_XFMR_633_A_1_A,0.006,0.000,0.006
XF_XFMR_633_A_2_A,0.006,0.000,0.006
XF_XFMR_633_A_3_A,0.006,0.000,0.006
XF_XFMR_633_A_4_A,0.006,0.000,0.006
XF_XFMR_633_A_5_A,0.006,0.000,0.006
XF_XFMR_632_C_1_C,0.006,0.000,0.006
XF_XFMR_632_C_2_C,0.006,0.000,0.006
XF_XFMR_632_C_3_C,0.006,0.000,0.006
XF_XFMR_632_C_4_C,0.006,0.000,0.006
