Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2, I3_1, Ang3_1, I3_2, Ang3_2, I3_3, Ang3_3, I3_4, Ang3_4, Iresid3, AngResid3
Vsource.SOURCE,    12.2273,   -62.32,    12.3121,   178.21,    12.3669,    57.61,          0,     0.00, 2.93303E-11,    -7.13,    12.2273,   117.68,    12.3121,    -1.79,    12.3669,  -122.39,          0,     0.00, 2.93303E-11,   172.87,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.S671-692,    536.356,    87.30,    534.451,   -31.81,    537.979,  -151.99,          0,     0.00,    4.71675,    16.85,    536.356,   -92.70,    534.451,   148.19,    537.979,    28.01,          0,     0.00,    4.71675,  -163.15,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL_632_B_XFMR_632_B_2, 0.00627499,   148.77,          0,     0.00,          0,     0.00,          0,     0.00, 0.00627499,   148.77, 0.00631919,   -31.23,          0,     0.00,          0,     0.00,          0,     0.00, 0.00631919,   -31.23,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL_632_B_XFMR_632_B_3, 0.00627499,   148.77,          0,     0.00,          0,     0.00,          0,     0.00, 0.00627499,   148.77, 0.00631919,   -31.23,          0,     0.00,          0,     0.00,          0,     0.00, 0.00631919,   -31.23,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL_632_B_XFMR_632_B_4, 0.00627499,   148.77,          0,     0.00,          0,     0.00,          0,     0.00, 0.00627499,   148.77, 0.00631919,   -31.23,          0,     0.00,          0,     0.00,          0,     0.00, 0.00631919,   -31.23,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL_632_B_XFMR_632_B_5, 0.00627499,   148.77,          0,     0.00,          0,     0.00,          0,     0.00, 0.00627499,   148.77, 0.00631919,   -31.23,          0,     0.00,          0,     0.00,          0,     0.00, 0.00631919,   -31.23,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL_632_B_XFMR_632_B_1, 0.00627499,   148.77,          0,     0.00,          0,     0.00,          0,     0.00, 0.00627499,   148.77, 0.00631919,   -31.23,          0,     0.00,          0,     0.00,          0,     0.00, 0.00631919,   -31.23,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_645_B_H_5,  3.2425E-6,   -31.23,  3.2714E-6,   148.77,          0,     0.00,          0,     0.00, 2.88994E-8,   148.77, 1.94268E-12,    20.56, 1.94268E-12,  -159.44,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_645_B_H_6,  3.2425E-6,   -31.23,  3.2714E-6,   148.77,          0,     0.00,          0,     0.00, 2.88994E-8,   148.77, 1.94268E-12,    20.56, 1.94268E-12,  -159.44,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_645_B_H_7,  3.2425E-6,   -31.23,  3.2714E-6,   148.77,          0,     0.00,          0,     0.00, 2.88994E-8,   148.77, 1.94268E-12,    20.56, 1.94268E-12,  -159.44,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_645_B_H_8,  3.2425E-6,   -31.23,  3.2714E-6,   148.77,          0,     0.00,          0,     0.00, 2.88998E-8,   148.77, 2.27374E-13,   -90.00, 4.54747E-13,   -90.00,          0,     0.00,          0,     0.00, 6.82121E-13,   -90.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_645_B_H_9,  3.2425E-6,   -31.23,  3.2714E-6,   148.77,          0,     0.00,          0,     0.00, 2.89042E-8,   148.77, 1.83315E-12,    -7.13, 1.81899E-12,   -90.00,          0,     0.00,          0,     0.00, 2.73794E-12,   -48.37,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_645_B_H_1,  3.2425E-6,   -31.23,  3.2714E-6,   148.77,          0,     0.00,          0,     0.00, 2.88998E-8,   148.77, 2.27374E-13,   -90.00, 4.54747E-13,   -90.00,          0,     0.00,          0,     0.00, 6.82121E-13,   -90.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_645_B_H_2,  3.2425E-6,   -31.23,  3.2714E-6,   148.77,          0,     0.00,          0,     0.00, 2.88998E-8,   148.77, 2.27374E-13,   -90.00, 4.54747E-13,   -90.00,          0,     0.00,          0,     0.00, 6.82121E-13,   -90.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_645_B_H_3,  3.2425E-6,   -31.23,  3.2714E-6,   148.77,          0,     0.00,          0,     0.00, 2.88994E-8,   148.77, 1.94268E-12,    20.56, 1.94268E-12,  -159.44,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_645_B_H_4,  3.2425E-6,   -31.23,  3.2714E-6,   148.77,          0,     0.00,          0,     0.00, 2.88998E-8,   148.77, 2.27374E-13,   -90.00, 4.54747E-13,   -90.00,          0,     0.00,          0,     0.00, 6.82121E-13,   -90.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL_684_C_XFMR_684_C_5, 0.00643805,    28.14,          0,     0.00,          0,     0.00,          0,     0.00, 0.00643805,    28.14,  0.0064834,  -151.86,          0,     0.00,          0,     0.00,          0,     0.00,  0.0064834,  -151.86,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL_684_C_XFMR_684_C_4, 0.00643805,    28.14,          0,     0.00,          0,     0.00,          0,     0.00, 0.00643805,    28.14,  0.0064834,  -151.86,          0,     0.00,          0,     0.00,          0,     0.00,  0.0064834,  -151.86,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL_684_C_XFMR_684_C_3, 0.00643805,    28.14,          0,     0.00,          0,     0.00,          0,     0.00, 0.00643805,    28.14,  0.0064834,  -151.86,          0,     0.00,          0,     0.00,          0,     0.00,  0.0064834,  -151.86,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL_684_C_XFMR_684_C_2, 0.00643805,    28.14,          0,     0.00,          0,     0.00,          0,     0.00, 0.00643805,    28.14,  0.0064834,  -151.86,          0,     0.00,          0,     0.00,          0,     0.00,  0.0064834,  -151.86,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL_684_C_XFMR_684_C_1, 0.00643805,    28.14,          0,     0.00,          0,     0.00,          0,     0.00, 0.00643805,    28.14,  0.0064834,  -151.86,          0,     0.00,          0,     0.00,          0,     0.00,  0.0064834,  -151.86,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL_675_C_XFMR_675_C_1, 0.00647345,    28.01,          0,     0.00,          0,     0.00,          0,     0.00, 0.00647345,    28.01, 0.00651905,  -151.99,          0,     0.00,          0,     0.00,          0,     0.00, 0.00651905,  -151.99,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_692_C_H_40, 3.32676E-6,  -151.86, 3.35641E-6,    28.14,          0,     0.00,          0,     0.00, 2.96525E-8,    28.13, 3.85866E-12,   135.00, 1.81899E-12,   -90.00,          0,     0.00,          0,     0.00, 2.87607E-12,   161.57,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL_675_C_XFMR_675_C_2, 0.00647345,    28.01,          0,     0.00,          0,     0.00,          0,     0.00, 0.00647345,    28.01, 0.00651905,  -151.99,          0,     0.00,          0,     0.00,          0,     0.00, 0.00651905,  -151.99,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL_675_C_XFMR_675_C_3, 0.00647345,    28.01,          0,     0.00,          0,     0.00,          0,     0.00, 0.00647345,    28.01, 0.00651905,  -151.99,          0,     0.00,          0,     0.00,          0,     0.00, 0.00651905,  -151.99,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL_675_C_XFMR_675_C_4, 0.00647345,    28.01,          0,     0.00,          0,     0.00,          0,     0.00, 0.00647345,    28.01, 0.00651905,  -151.99,          0,     0.00,          0,     0.00,          0,     0.00, 0.00651905,  -151.99,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL_675_C_XFMR_675_C_5, 0.00647345,    28.01,          0,     0.00,          0,     0.00,          0,     0.00, 0.00647345,    28.01, 0.00651905,  -151.99,          0,     0.00,          0,     0.00,          0,     0.00, 0.00651905,  -151.99,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL_671_C,  0.0321449,    28.14,          0,     0.00,          0,     0.00,          0,     0.00,  0.0321449,    28.14,  0.0321903,  -151.86,          0,     0.00,          0,     0.00,          0,     0.00,  0.0321903,  -151.86,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL_671_A,  0.0320554,   -92.51,          0,     0.00,          0,     0.00,          0,     0.00,  0.0320554,   -92.51,  0.0321006,    87.49,          0,     0.00,          0,     0.00,          0,     0.00,  0.0321006,    87.49,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL_671_B,  0.0319536,   148.30,          0,     0.00,          0,     0.00,          0,     0.00,  0.0319536,   148.30,  0.0319987,   -31.70,          0,     0.00,          0,     0.00,          0,     0.00,  0.0319987,   -31.70,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_632_A_H_6, 3.24807E-6,    88.29, 3.27702E-6,   -91.71,          0,     0.00,          0,     0.00, 2.89503E-8,   -91.71, 3.63798E-12,   -90.00, 2.72848E-12,     0.00,          0,     0.00,          0,     0.00, 4.54747E-12,   -53.13,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_632_A_H_7, 3.24807E-6,    88.29, 3.27702E-6,   -91.71,          0,     0.00,          0,     0.00, 2.89503E-8,   -91.71, 3.63798E-12,   -90.00, 2.72848E-12,     0.00,          0,     0.00,          0,     0.00, 4.54747E-12,   -53.13,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_632_A_H_4, 3.24807E-6,    88.29, 3.27702E-6,   -91.71,          0,     0.00,          0,     0.00, 2.89503E-8,   -91.71, 3.63798E-12,   -90.00, 2.72848E-12,     0.00,          0,     0.00,          0,     0.00, 4.54747E-12,   -53.13,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_632_A_H_5, 3.24807E-6,    88.29, 3.27702E-6,   -91.71,          0,     0.00,          0,     0.00, 2.89531E-8,   -91.71, 1.28622E-12,    45.00, 1.81899E-12,     0.00,          0,     0.00,          0,     0.00, 2.87607E-12,    18.43,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_632_A_H_2, 3.24807E-6,    88.29, 3.27702E-6,   -91.71,          0,     0.00,          0,     0.00, 2.89503E-8,   -91.71, 3.63798E-12,   -90.00, 2.72848E-12,     0.00,          0,     0.00,          0,     0.00, 4.54747E-12,   -53.13,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_632_A_H_3, 3.24807E-6,    88.29, 3.27702E-6,   -91.71,          0,     0.00,          0,     0.00, 2.89503E-8,   -91.71, 3.63798E-12,   -90.00, 2.72848E-12,     0.00,          0,     0.00,          0,     0.00, 4.54747E-12,   -53.13,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_632_A_H_1, 3.24807E-6,    88.29, 3.27702E-6,   -91.71,          0,     0.00,          0,     0.00, 2.89531E-8,   -91.71, 1.28622E-12,    45.00, 1.81899E-12,     0.00,          0,     0.00,          0,     0.00, 2.87607E-12,    18.43,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_632_A_H_8, 3.24807E-6,    88.29, 3.27702E-6,   -91.71,          0,     0.00,          0,     0.00, 2.89531E-8,   -91.71, 1.28622E-12,    45.00, 1.81899E-12,     0.00,          0,     0.00,          0,     0.00, 2.87607E-12,    18.43,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_632_A_H_9, 3.24807E-6,    88.29, 3.27702E-6,   -91.71,          0,     0.00,          0,     0.00, 2.89521E-8,   -91.71, 2.03369E-12,   -63.43, 2.03369E-12,   116.57,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_671_A_H_40, 3.31749E-6,    87.49, 3.34706E-6,   -92.51,          0,     0.00,          0,     0.00, 2.95679E-8,   -92.51, 2.03369E-12,   -63.43, 1.81899E-12,     0.00,          0,     0.00,          0,     0.00, 3.27923E-12,   -33.69,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_692_B_H_12, 3.30696E-6,   -31.70, 3.33644E-6,   148.30,          0,     0.00,          0,     0.00, 2.94732E-8,   148.30, 3.81148E-12,   162.65, 2.57244E-12,   -45.00,          0,     0.00,          0,     0.00, 1.94268E-12,  -159.44,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_692_B_H_13, 3.30696E-6,   -31.70, 3.33644E-6,   148.30,          0,     0.00,          0,     0.00, 2.94732E-8,   148.30, 3.81148E-12,   162.65, 2.57244E-12,   -45.00,          0,     0.00,          0,     0.00, 1.94268E-12,  -159.44,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_692_B_H_10, 3.30696E-6,   -31.70, 3.33644E-6,   148.30,          0,     0.00,          0,     0.00, 2.94732E-8,   148.30, 3.81148E-12,   162.65, 2.57244E-12,   -45.00,          0,     0.00,          0,     0.00, 1.94268E-12,  -159.44,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
