# Master_curr.csv run at 2000-01-01 00:00:00 EST on 2616 links
link_name,currA_mag,currA_angle,currB_mag,currB_angle,currC_mag,currC_angle
reg_trans_n650-n630,32.230261,1.015330,32.124223,-1.065894,32.310354,3.120335
line_ol_632_b_xfmr_632_b_2,0.000000,0.000000,0.000002,-1.126888,0.000000,0.000000
line_ol_632_b_xfmr_632_b_3,0.000000,0.000000,0.000002,-1.126889,0.000000,0.000000
line_ol_632_b_xfmr_632_b_4,0.000000,0.000000,0.000002,-1.126888,0.000000,0.000000
line_ol_632_b_xfmr_632_b_5,0.000000,0.000000,0.000002,-1.126888,0.000000,0.000000
line_ol_632_b_xfmr_632_b_1,0.000000,0.000000,0.000002,-1.126888,0.000000,0.000000
tpx_trip_line_645_b_h_5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
tpx_trip_line_645_b_h_6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
tpx_trip_line_645_b_h_7,0.000000,3.534137,0.000000,3.545863,0.000000,0.000000
tpx_trip_line_645_b_h_8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
tpx_trip_line_645_b_h_9,0.000000,-0.698290,0.000000,2.472702,0.000000,0.000000
tpx_trip_line_645_b_h_1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
tpx_trip_line_645_b_h_2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
tpx_trip_line_645_b_h_3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
tpx_trip_line_645_b_h_4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
line_ol_684_c_xfmr_684_c_5,0.000000,0.000000,0.000000,0.000000,0.000002,3.051446
line_ol_684_c_xfmr_684_c_4,0.000000,0.000000,0.000000,0.000000,0.000002,3.051446
line_ol_684_c_xfmr_684_c_3,0.000000,0.000000,0.000000,0.000000,0.000002,3.051446
line_ol_684_c_xfmr_684_c_2,0.000000,0.000000,0.000000,0.000000,0.000002,3.051445
line_ol_684_c_xfmr_684_c_1,0.000000,0.000000,0.000000,0.000000,0.000002,3.051445
line_ol_675_c_xfmr_675_c_1,0.000000,0.000000,0.000000,0.000000,0.000002,3.049164
tpx_trip_line_692_c_h_40,0.000000,3.608111,0.000000,0.595286,0.000000,0.000000
line_ol_675_c_xfmr_675_c_2,0.000000,0.000000,0.000000,0.000000,0.000002,3.049163
line_ol_675_c_xfmr_675_c_3,0.000000,0.000000,0.000000,0.000000,0.000002,3.049164
line_ol_675_c_xfmr_675_c_4,0.000000,0.000000,0.000000,0.000000,0.000002,3.049163
line_ol_675_c_xfmr_675_c_5,0.000000,0.000000,0.000000,0.000000,0.000002,3.049163
line_ol_671_c,0.000000,0.000000,0.000000,0.000000,0.000015,3.063972
line_ol_671_a,0.000015,0.960100,0.000000,0.000000,0.000000,0.000000
line_ol_671_b,0.000000,0.000000,0.000015,-1.122519,0.000000,0.000000
tpx_trip_line_632_a_h_6,0.000000,2.157124,0.000000,-0.192199,0.000000,0.000000
tpx_trip_line_632_a_h_7,0.000000,2.157124,0.000000,-0.192199,0.000000,0.000000
tpx_trip_line_632_a_h_4,0.000000,2.157124,0.000000,-0.192199,0.000000,0.000000
tpx_trip_line_632_a_h_5,0.000000,2.157124,0.000000,-0.192199,0.000000,0.000000
tpx_trip_line_632_a_h_2,0.000000,2.157124,0.000000,-0.192199,0.000000,0.000000
tpx_trip_line_632_a_h_3,0.000000,2.157124,0.000000,-0.192199,0.000000,0.000000
tpx_trip_line_632_a_h_1,0.000000,3.579851,0.000000,0.416295,0.000000,0.000000
tpx_trip_line_632_a_h_8,0.000000,2.157124,0.000000,-0.192199,0.000000,0.000000
tpx_trip_line_632_a_h_9,0.000000,4.657600,0.000000,1.545407,0.000000,0.000000
tpx_trip_line_671_a_h_40,0.000000,1.545407,0.000000,4.665036,0.000000,0.000000
tpx_trip_line_692_b_h_12,0.000000,-0.698290,0.000000,2.472702,0.000000,0.000000
