# Master_volt.csv run at 2000-01-01 00:00:00 EST on 2616 powerflow objects (not all are nodes)
node_name,voltA_mag,voltA_angle,voltB_mag,voltB_angle,voltC_mag,voltC_angle
cap_cap1,101.260175,-0.555468,100.927030,3.646496,101.511786,1.549539
cap_cap2,101.260175,-0.555468,100.927030,3.646496,101.511786,1.549539
trip_load_632_c_h_19,4.937159,1.561079,4.937159,1.561079,0.000000,0.000000
trip_load_632_c_h_17,4.937159,1.561079,4.937159,1.561079,0.000000,0.000000
trip_load_632_c_h_18,4.937159,1.561079,4.937159,1.561079,0.000000,0.000000
trip_load_684_c_h_40,5.047960,1.551820,5.047960,1.551820,0.000000,0.000000
trip_load_632_c_h_15,4.937159,1.561079,4.937159,1.561079,0.000000,0.000000
trip_load_632_c_h_16,4.937159,1.561079,4.937159,1.561079,0.000000,0.000000
meter_684_c,0.000000,0.000000,0.000000,0.000000,100.959198,1.551820
trip_load_632_b_h_9,4.924226,3.656672,4.924226,3.656672,0.000000,0.000000
trip_load_632_b_h_5,4.924226,3.656672,4.924226,3.656672,0.000000,0.000000
trip_load_632_b_h_6,4.924226,3.656672,4.924226,3.656672,0.000000,0.000000
trip_load_632_b_h_7,4.924226,3.656672,4.924226,3.656672,0.000000,0.000000
trip_load_645_b_h_1,4.924226,3.656672,4.924226,3.656672,0.000000,0.000000
trip_load_632_b_h_8,4.924226,3.656672,4.924226,3.656672,0.000000,0.000000
trip_load_645_b_h_2,4.924226,3.656672,4.924226,3.656672,0.000000,0.000000
trip_load_632_b_h_1,4.924226,3.656672,4.924226,3.656672,0.000000,0.000000
trip_load_632_c_h_24,4.937159,1.561079,4.937159,1.561079,0.000000,0.000000
trip_load_645_b_h_3,4.924226,3.656672,4.924226,3.656672,0.000000,0.000000
trip_load_632_b_h_2,4.924226,3.656672,4.924226,3.656672,0.000000,0.000000
trip_load_632_c_h_25,4.937159,1.561079,4.937159,1.561079,0.000000,0.000000
trip_load_645_b_h_4,4.924226,3.656672,4.924226,3.656672,0.000000,0.000000
trip_load_632_b_h_3,4.924226,3.656672,4.924226,3.656672,0.000000,0.000000
trip_load_632_c_h_22,4.937159,1.561079,4.937159,1.561079,0.000000,0.000000
trip_load_645_b_h_5,4.924226,3.656672,4.924226,3.656672,0.000000,0.000000
trip_load_684_c_h_38,5.047960,1.551820,5.047960,1.551820,0.000000,0.000000
trip_load_632_b_h_4,4.924226,3.656672,4.924226,3.656672,0.000000,0.000000
trip_load_632_c_h_23,4.937159,1.561079,4.937159,1.561079,0.000000,0.000000
trip_load_645_b_h_6,4.924226,3.656672,4.924226,3.656672,0.000000,0.000000
trip_load_684_c_h_39,5.047960,1.551820,5.047960,1.551820,0.000000,0.000000
trip_load_632_c_h_20,4.937159,1.561079,4.937159,1.561079,0.000000,0.000000
trip_load_645_b_h_7,4.924226,3.656672,4.924226,3.656672,0.000000,0.000000
trip_load_684_c_h_36,5.047960,1.551820,5.047960,1.551820,0.000000,0.000000
trip_load_632_c_h_21,4.937159,1.561079,4.937159,1.561079,0.000000,0.000000
trip_load_645_b_h_8,4.924226,3.656672,4.924226,3.656672,0.000000,0.000000
trip_load_684_c_h_37,5.047960,1.551820,5.047960,1.551820,0.000000,0.000000
trip_load_645_b_h_9,4.924226,3.656672,4.924226,3.656672,0.000000,0.000000
trip_load_684_c_h_34,5.047960,1.551820,5.047960,1.551820,0.000000,0.000000
trip_load_684_c_h_35,5.047960,1.551820,5.047960,1.551820,0.000000,0.000000
trip_load_652_a_h_38,5.036642,-0.552052,5.036642,-0.552052,0.000000,0.000000
trip_load_652_a_h_37,5.036642,-0.552052,5.036642,-0.552052,0.000000,0.000000
trip_load_652_a_h_39,5.036642,-0.552052,5.036642,-0.552052,0.000000,0.000000
trip_load_632_c_h_28,4.937159,1.561079,4.937159,1.561079,0.000000,0.000000
trip_load_652_a_h_34,5.036642,-0.552052,5.036642,-0.552052,0.000000,0.000000
trip_load_671_a_h_17,5.036642,-0.552052,5.036642,-0.552052,0.000000,0.000000
trip_load_632_c_h_29,4.937159,1.561079,4.937159,1.561079,0.000000,0.000000
trip_load_652_a_h_33,5.036642,-0.552052,5.036642,-0.552052,0.000000,0.000000
trip_load_671_a_h_16,5.036642,-0.552052,5.036642,-0.552052,0.000000,0.000000
trip_load_632_c_h_26,4.937159,1.561079,4.937159,1.561079,0.000000,0.000000
trip_load_652_a_h_36,5.036642,-0.552052,5.036642,-0.552052,0.000000,0.000000
trip_load_671_a_h_19,5.036642,-0.552052,5.036642,-0.552052,0.000000,0.000000
trip_load_632_c_h_27,4.937159,1.561079,4.937159,1.561079,0.000000,0.000000
trip_load_652_a_h_35,5.036642,-0.552052,5.036642,-0.552052,0.000000,0.000000
trip_load_671_a_h_18,5.036642,-0.552052,5.036642,-0.552052,0.000000,0.000000
trip_load_671_a_h_13,5.036642,-0.552052,5.036642,-0.552052,0.000000,0.000000
