Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2, I3_1, Ang3_1, I3_2, Ang3_2, I3_3, Ang3_3, I3_4, Ang3_4, Iresid3, AngResid3
Vsource.SOURCE,    12.2315,   -62.34,    12.3163,   178.19,    12.3711,    57.59,          0,     0.00, 2.93303E-11,  -150.26,    12.2315,   117.66,    12.3163,    -1.81,    12.3711,  -122.41,          0,     0.00, 2.93303E-11,    29.74,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Transformer.SUB,    12.2315,   117.66,    12.3163,    -1.81,    12.3711,  -122.41,          0,     0.00, 7.67988E-9,  -165.96,    340.376,   -92.72,    339.189,   148.17,    341.388,    27.99,    3.02731,    16.59, 1.68587E-7,    45.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Transformer.TRANS_N650-N630,    340.376,    87.28,    339.189,   -31.83,    341.388,  -152.01,    3.02731,  -163.41, 2.54211E-13,   153.43,    536.351,   -92.72,     534.48,   148.17,    537.946,    27.99,    4.77031,    16.59, 2.02352E-7,  -166.68,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Transformer.T633-634, 0.000316647,   -91.71, 0.000316105,   148.77, 0.000317209,    28.67, 7.48039E-7,    16.34, 7.48197E-7,  -163.68, 1.67897E-9,   146.31, 1.31709E-9,    45.00, 1.39698E-9,   180.00, 3.74016E-6,  -163.67, 3.74142E-6,  -163.71,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Transformer.XFMR_652_A_1, 0.00646565,   -92.51, 0.00484857,    87.49,          0,     0.00,          0,     0.00, 0.00161708,   -92.51, 0.0000265384,   -92.51,   0.032315,   -92.51,          0,     0.00,          0,     0.00,  0.0323416,   -92.51,  0.0646563,    87.49, 0.0000267752,    87.49,          0,     0.00,          0,     0.00,  0.0646831,    87.49
Transformer.XFMR_652_A_2, 0.00646565,   -92.51, 0.00484857,    87.49,          0,     0.00,          0,     0.00, 0.00161708,   -92.51, 0.0000265384,   -92.51,   0.032315,   -92.51,          0,     0.00,          0,     0.00,  0.0323416,   -92.51,  0.0646563,    87.49, 0.0000267752,    87.49,          0,     0.00,          0,     0.00,  0.0646831,    87.49
Transformer.XFMR_652_A_3, 0.00646565,   -92.51, 0.00484857,    87.49,          0,     0.00,          0,     0.00, 0.00161708,   -92.51, 0.0000265384,   -92.51,   0.032315,   -92.51,          0,     0.00,          0,     0.00,  0.0323416,   -92.51,  0.0646563,    87.49, 0.0000267752,    87.49,          0,     0.00,          0,     0.00,  0.0646831,    87.49
Transformer.XFMR_652_A_4, 0.00646565,   -92.51, 0.00484857,    87.49,          0,     0.00,          0,     0.00, 0.00161708,   -92.51, 0.0000265384,   -92.51,   0.032315,   -92.51,          0,     0.00,          0,     0.00,  0.0323416,   -92.51,  0.0646563,    87.49, 0.0000267752,    87.49,          0,     0.00,          0,     0.00,  0.0646831,    87.49
Transformer.XFMR_652_A_5, 0.00646565,   -92.51, 0.00484857,    87.49,          0,     0.00,          0,     0.00, 0.00161708,   -92.51, 0.0000265384,   -92.51,   0.032315,   -92.51,          0,     0.00,          0,     0.00,  0.0323416,   -92.51,  0.0646563,    87.49, 0.0000267752,    87.49,          0,     0.00,          0,     0.00,  0.0646831,    87.49
Transformer.XFMR_611_C_1, 0.00648375,    28.14, 0.00486214,  -151.86,          0,     0.00,          0,     0.00, 0.00162161,    28.14, 0.0000266131,    28.14,  0.0324055,    28.14,          0,     0.00,          0,     0.00,  0.0324321,    28.14,  0.0648374,  -151.86, 0.0000268483,  -151.86,          0,     0.00,          0,     0.00,  0.0648642,  -151.86
